2026-08-28 09:52:18 | INFO | dbgpt.component | Register component with name dbgpt_unified_metadata_db_manager_factory and instance: <dbgpt.storage.metadata.db_factory.UnifiedDBManagerFactory object at 0x000001E5DF05DB40>
2026-08-28 09:52:18 | INFO | dbgpt.component | Register component with name dbgpt_unified_metadata_db_manager_factory and instance: <dbgpt.storage.metadata.db_factory.UnifiedDBManagerFactory object at 0x000001E5DF05DB40>
2026-08-28 09:52:18 | INFO | dbgpt.datasource.rdbms.base | Closing RDBMS connector resources...
2026-08-28 09:52:18 | INFO | dbgpt.datasource.rdbms.base | Closing RDBMS connector resources...
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_thread_pool_default and instance: <dbgpt.util.executor_utils.DefaultExecutorFactory object at 0x000001E5DF93B190>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_thread_pool_default and instance: <dbgpt.util.executor_utils.DefaultExecutorFactory object at 0x000001E5DF93B190>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_default_scheduler and instance: <dbgpt_app.initialization.scheduler.DefaultScheduler object at 0x000001E5DF93B910>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_default_scheduler and instance: <dbgpt_app.initialization.scheduler.DefaultScheduler object at 0x000001E5DF93B910>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_model_controller and instance: <dbgpt.model.cluster.controller.controller.ModelControllerAdapter object at 0x000001E5B9003730>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_model_controller and instance: <dbgpt.model.cluster.controller.controller.ModelControllerAdapter object at 0x000001E5B9003730>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_connector_manager and instance: <dbgpt_serve.datasource.manages.connector_manager.ConnectorManager object at 0x000001E5DF93BA00>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_connector_manager and instance: <dbgpt_serve.datasource.manages.connector_manager.ConnectorManager object at 0x000001E5DF93BA00>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_rag_storage_manager and instance: <dbgpt_serve.rag.storage_manager.StorageManager object at 0x000001E5DF93BA90>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_rag_storage_manager and instance: <dbgpt_serve.rag.storage_manager.StorageManager object at 0x000001E5DF93BA90>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_plugin_hub and instance: <dbgpt_serve.agent.hub.controller.ModulePlugin object at 0x000001E5DF9BC610>
2026-08-28 09:52:22 | INFO | dbgpt.component | Register component with name dbgpt_plugin_hub and instance: <dbgpt_serve.agent.hub.controller.ModulePlugin object at 0x000001E5DF9BC610>
2026-08-28 09:52:23 | INFO | dbgpt.component | Register component with name dbgpt_multi_agents and instance: <dbgpt_serve.agent.agents.controller.MultiAgents object at 0x000001E5DF718C10>
2026-08-28 09:52:23 | INFO | dbgpt.component | Register component with name dbgpt_multi_agents and instance: <dbgpt_serve.agent.agents.controller.MultiAgents object at 0x000001E5DF718C10>
2026-08-28 09:52:23 | INFO | dbgpt_app.initialization.embedding_component | Register remote RemoteEmbeddingFactory
2026-08-28 09:52:23 | INFO | dbgpt.component | Register component with name embedding_factory and instance: <dbgpt_app.initialization.embedding_component.RemoteEmbeddingFactory object at 0x000001E5DF9EA620>
2026-08-28 09:52:23 | INFO | dbgpt.component | Register component with name embedding_factory and instance: <dbgpt_app.initialization.embedding_component.RemoteEmbeddingFactory object at 0x000001E5DF9EA620>
2026-08-28 09:52:23 | INFO | dbgpt.component | Register component with name dbgpt_model_cache_manager and instance: <dbgpt.storage.cache.manager.LocalCacheManager object at 0x000001E5DF9EA8C0>
2026-08-28 09:52:23 | INFO | dbgpt.component | Register component with name dbgpt_model_cache_manager and instance: <dbgpt.storage.cache.manager.LocalCacheManager object at 0x000001E5DF9EA8C0>
2026-08-28 09:52:23 | INFO | dbgpt.component | Register component with name dbgpt_awel_trigger_manager and instance: <dbgpt.core.awel.trigger.trigger_manager.DefaultTriggerManager object at 0x000001E5DF9EA920>
2026-08-28 09:52:23 | INFO | dbgpt.component | Register component with name dbgpt_awel_trigger_manager and instance: <dbgpt.core.awel.trigger.trigger_manager.DefaultTriggerManager object at 0x000001E5DF9EA920>
2026-08-28 09:52:23 | INFO | dbgpt.component | Register component with name dbgpt_awel_dag_manager and instance: <dbgpt.core.awel.dag.dag_manager.DAGManager object at 0x000001E5DF9EB130>
2026-08-28 09:52:23 | INFO | dbgpt.component | Register component with name dbgpt_awel_dag_manager and instance: <dbgpt.core.awel.dag.dag_manager.DAGManager object at 0x000001E5DF9EB130>
